RR,FR,T,Csite
20,0.05,923,1
0,0.05,923,0
20,5,923,1
0,5,923,0
20,2.525,673,1
0,2.525,673,0
20,2.525,1173,1
0,2.525,1173,0
10,0.05,673,0.001272
10,5,673,0.0001702
10,0.05,1173,0.0000897
10,5,1173,0.000002521
10,2.525,923,0.00002859
10,1.2875,798,0.0001087
10,3.7625,798,0.00005872
10,1.2875,1048,0.0000296
10,3.7625,1048,0.000007802
15,1.2875,798,0.0002615
15,3.7625,798,0.0001296
15,1.2875,1048,0.00935
15,3.7625,1048,0.007679
5,1.2875,798,0.0000533
5,3.7625,798,0.00002847
5,1.2875,1048,0.000002014
5,3.7625,1048,0.000001226
